Sum all Absenteeism,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Child,Social drinker,Social smoker,Pet
86,11,4,4,179,22,17,40,306.345,93,0,2,1,0,1,0
219,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2
178,11,6,4,260,50,11,36,306.345,93,0,1,1,1,0,0
73,11,2,4,248,25,14,47,306.345,93,0,1,1,0,0,1
219,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2
101,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1
73,12,3,4,248,25,14,47,261.306,97,0,1,1,0,0,1
63,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0
105,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1
219,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2
178,12,6,4,260,50,11,36,261.306,97,0,1,1,1,0,0
146,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4
219,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2
178,12,6,4,260,50,11,36,261.306,97,0,1,1,1,0,0
219,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2
146,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4
192,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0
118,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0
219,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2
219,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2
192,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0
76,1,3,2,155,12,14,34,308.593,95,0,1,1,1,0,0
219,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2
27,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0
219,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2
219,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2
192,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0
219,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2
192,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0
117,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0
210,1,3,2,289,36,13,33,308.593,95,0,1,1,1,0,1
192,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0
27,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0
192,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0
192,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0
219,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2
210,1,5,2,289,36,13,33,308.593,95,0,1,1,1,0,1
27,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0
118,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0
362,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0
76,2,5,2,155,12,14,34,302.585,99,0,1,1,1,0,0
56,2,5,2,189,29,13,33,302.585,99,0,1,1,0,0,2
178,2,6,2,260,50,11,36,302.585,99,0,1,1,1,0,0
210,2,6,2,289,36,13,33,302.585,99,0,1,1,1,0,1
16,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0
16,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0
219,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2
219,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2
117,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0
27,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0
219,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2
78,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0
78,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0
219,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2
56,2,5,2,189,29,13,33,302.585,99,0,1,1,0,0,2
6,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0
178,3,3,2,260,50,11,36,343.253,95,0,1,1,1,0,0
15,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0
86,3,3,2,179,22,17,40,343.253,95,0,2,1,0,1,0
101,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1
178,3,4,2,260,50,11,36,343.253,95,0,1,1,1,0,0
117,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0
73,3,6,2,248,25,14,47,343.253,95,0,1,1,0,0,1
76,3,3,2,155,12,14,34,343.253,95,0,1,1,1,0,0
210,3,5,2,289,36,13,33,343.253,95,0,1,1,1,0,1
86,3,5,2,179,22,17,40,343.253,95,0,2,1,0,1,0
178,3,6,2,260,50,11,36,343.253,95,0,1,1,1,0,0
219,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2
14,3,2,2,279,5,14,39,343.253,95,0,1,1,1,1,0
219,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2
219,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2
117,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0
219,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2
362,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0
219,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2
73,3,6,3,248,25,14,47,343.253,95,0,1,1,0,0,1
219,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2
101,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1
219,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2
76,4,3,3,155,12,14,34,326.452,96,0,1,1,1,0,0
76,4,5,3,155,12,14,34,326.452,96,0,1,1,1,0,0
219,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2
178,4,6,3,260,50,11,36,326.452,96,0,1,1,1,0,0
63,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0
101,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1
118,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0
101,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1
73,4,6,3,248,25,14,47,326.452,96,0,1,1,0,0,1
210,4,3,3,289,36,13,33,326.452,96,0,1,1,1,0,1
40,4,4,3,378,49,11,36,326.452,96,0,1,1,0,1,4
105,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1
25,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5
210,5,4,3,289,36,13,33,378.884,92,0,1,1,1,0,1
76,5,5,3,155,12,14,34,378.884,92,0,1,1,1,0,0
76,5,2,3,155,12,14,34,378.884,92,0,1,1,1,0,0
362,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0
219,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2
27,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0
76,5,2,3,155,12,14,34,378.884,92,0,1,1,1,0,0
362,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0
14,5,4,3,279,5,14,39,378.884,92,1,1,1,1,1,0
78,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0
40,5,4,3,378,49,11,36,378.884,92,1,1,1,0,1,4
16,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0
362,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0
146,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4
118,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0
146,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4
101,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1
118,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0
362,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0
76,6,2,3,155,12,14,34,377.55,94,0,1,1,1,0,0
118,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0
63,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0
63,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0
40,6,5,3,378,49,11,36,377.55,94,0,1,1,0,1,4
362,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0
16,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2
219,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2
63,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0
192,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0
192,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0
78,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0
117,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0
76,7,6,1,155,12,14,34,275.312,98,0,1,1,1,0,0
78,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0
78,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0
15,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0
146,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4
210,7,4,1,289,36,13,33,275.312,98,0,1,1,1,0,1
362,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0
210,7,5,1,289,36,13,33,275.312,98,0,1,1,1,0,1
178,7,5,1,260,50,11,36,275.312,98,1,1,1,1,0,0
210,8,6,1,289,36,13,33,265.615,94,0,1,1,1,0,1
15,8,6,1,157,27,6,29,265.615,94,0,1,0,1,1,0
210,8,2,1,289,36,13,33,265.615,94,0,1,1,1,0,1
30,8,3,1,228,14,16,58,265.615,94,0,1,1,0,0,1
19,8,5,1,300,26,13,43,265.615,94,0,1,1,1,1,1
19,8,5,1,300,26,13,43,265.615,94,0,1,1,1,1,1
178,8,6,1,260,50,11,36,265.615,94,0,1,1,1,0,0
210,8,3,1,289,36,13,33,265.615,94,0,1,1,1,0,1
73,8,4,1,248,25,14,47,265.615,94,0,1,1,0,0,1
16,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0
117,8,5,1,179,26,9,30,265.615,94,0,3,0,0,0,0
63,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0
73,8,2,1,248,25,14,47,265.615,94,0,1,1,0,0,1
105,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1
63,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0
105,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1
146,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4
27,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0
362,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0
362,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0
88,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0
101,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1
0,9,3,1,231,35,14,39,294.217,81,1,1,1,1,0,2
6,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0
362,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0
362,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0
101,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1
178,9,6,1,260,50,11,36,294.217,81,0,1,1,1,0,0
88,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0
63,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0
88,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0
101,9,6,4,291,31,12,40,294.217,81,0,1,1,1,0,1
362,9,2,4,179,51,18,38,294.217,81,0,1,0,1,0,0
210,10,2,4,289,36,13,33,265.017,88,0,1,1,1,0,1
105,10,2,4,235,11,14,37,265.017,88,0,3,1,0,0,1
210,10,2,4,289,36,13,33,265.017,88,0,1,1,1,0,1
210,10,6,4,289,36,13,33,265.017,88,0,1,1,1,0,1
63,10,6,4,118,13,18,50,265.017,88,1,1,1,1,0,0
73,10,6,4,248,25,14,47,265.017,88,1,1,1,0,0,1
117,10,2,4,179,26,9,30,265.017,88,0,3,0,0,0,0
192,10,2,4,118,10,10,37,265.017,88,0,1,0,0,0,0
79,10,2,4,369,17,12,31,265.017,88,0,1,1,1,0,0
362,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0
88,10,4,4,235,20,13,43,265.017,88,1,1,1,1,0,0
178,10,6,4,260,50,11,36,265.017,88,0,1,1,1,0,0
88,10,6,4,235,20,13,43,265.017,88,1,1,1,1,0,0
88,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0
88,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0
63,10,3,4,118,13,18,50,265.017,88,0,1,1,1,0,0
101,10,3,4,291,31,12,40,265.017,88,0,1,1,1,0,1
63,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0
146,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4
178,10,3,4,260,50,11,36,265.017,88,1,1,1,1,0,0
101,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1
15,10,3,4,157,27,6,29,265.017,88,1,1,0,1,1,0
117,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0
117,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0
63,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0
192,11,2,4,118,10,10,37,284.031,97,0,1,0,0,0,0
73,11,2,4,248,25,14,47,284.031,97,0,1,1,0,0,1
362,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0
178,11,6,4,260,50,11,36,284.031,97,0,1,1,1,0,0
101,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1
40,11,2,4,378,49,11,36,284.031,97,0,1,1,0,1,4
88,11,2,4,235,20,13,43,284.031,97,0,1,1,1,0,0
78,11,3,4,330,16,4,28,284.031,97,1,2,0,0,0,0
105,11,4,4,235,11,14,37,284.031,97,0,3,1,0,0,1
192,11,4,4,118,10,10,37,284.031,97,0,1,0,0,0,0
105,11,5,4,235,11,14,37,284.031,97,0,3,1,0,0,1
362,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0
118,11,6,4,246,25,16,41,284.031,97,0,1,0,1,0,0
101,11,6,4,291,31,12,40,284.031,97,0,1,1,1,0,1
118,11,2,4,246,25,16,41,284.031,97,0,1,0,1,0,0
362,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0
178,11,4,4,260,50,11,36,284.031,97,0,1,1,1,0,0
178,11,6,4,260,50,11,36,284.031,97,0,1,1,1,0,0
40,11,6,4,378,49,11,36,284.031,97,1,1,1,0,1,4
14,11,3,4,279,5,14,39,284.031,97,1,1,1,1,1,0
362,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0
219,12,2,4,225,26,9,28,236.629,93,0,1,1,0,0,2
362,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0
362,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0
105,12,2,4,235,11,14,37,236.629,93,0,3,1,0,0,1
63,12,3,4,118,13,18,50,236.629,93,0,1,1,1,0,0
178,12,6,4,260,50,11,36,236.629,93,0,1,1,1,0,0
118,12,5,4,246,25,16,41,236.629,93,0,1,0,1,0,0
362,12,5,4,179,51,18,38,236.629,93,0,1,0,1,0,0
362,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0
117,12,3,4,179,26,9,30,236.629,93,0,3,0,0,0,0
192,12,3,4,118,10,10,37,236.629,93,0,1,0,0,0,0
105,12,5,4,235,11,14,37,236.629,93,0,3,1,0,0,1
362,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0
88,12,3,2,235,20,13,43,236.629,93,0,1,1,1,0,0
105,12,3,2,235,11,14,37,236.629,93,0,3,1,0,0,1
178,12,4,2,260,50,11,36,236.629,93,0,1,1,1,0,0
15,12,2,2,157,27,6,29,236.629,93,0,1,0,1,1,0
362,12,2,2,179,51,18,38,236.629,93,0,1,0,1,0,0
210,12,2,2,289,36,13,33,236.629,93,0,1,1,1,0,1
219,1,4,2,225,26,9,28,330.061,100,0,1,1,0,0,2
76,1,2,2,155,12,14,34,330.061,100,0,1,1,1,0,0
105,1,3,2,235,11,14,37,330.061,100,0,3,1,0,0,1
76,1,3,2,155,12,14,34,330.061,100,0,1,1,1,0,0
210,1,2,2,289,36,13,33,330.061,100,0,1,1,1,0,1
101,1,4,2,291,31,12,40,330.061,100,0,1,1,1,0,1
88,1,2,2,235,20,13,43,330.061,100,0,1,1,1,0,0
63,1,2,2,118,13,18,50,330.061,100,0,1,1,1,0,0
362,1,4,2,179,51,18,38,330.061,100,0,1,0,1,0,0
362,1,6,2,179,51,18,38,330.061,100,0,1,0,1,0,0
192,2,3,2,118,10,10,37,251.818,96,0,1,0,0,0,0
362,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0
219,2,4,2,225,26,9,28,251.818,96,0,1,1,0,0,2
210,2,6,2,289,36,13,33,251.818,96,0,1,1,1,0,1
178,2,6,2,260,50,11,36,251.818,96,0,1,1,1,0,0
362,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,5,2,179,51,18,38,251.818,96,0,1,0,1,0,0
118,2,5,2,246,25,16,41,251.818,96,0,1,0,1,0,0
362,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0
56,2,2,2,189,29,13,33,251.818,96,0,1,1,0,0,2
362,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0
118,2,3,2,246,25,16,41,251.818,96,0,1,0,1,0,0
101,2,3,2,291,31,12,40,251.818,96,0,1,1,1,0,1
362,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0
362,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0
192,3,3,2,118,10,10,37,244.387,98,0,1,0,0,0,0
118,3,6,2,246,25,16,41,244.387,98,0,1,0,1,0,0
178,3,6,2,260,50,11,36,244.387,98,0,1,1,1,0,0
362,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0
105,3,2,2,235,11,14,37,244.387,98,0,3,1,0,0,1
86,3,3,2,179,22,17,40,244.387,98,0,2,1,0,1,0
40,3,3,2,378,49,11,36,244.387,98,0,1,1,0,1,4
146,3,4,2,361,52,3,28,244.387,98,0,1,1,1,0,4
79,3,4,2,369,17,12,31,244.387,98,1,1,1,1,0,0
105,3,5,2,235,11,14,37,244.387,98,0,3,1,0,0,1
63,3,6,3,118,13,18,50,244.387,98,0,1,1,1,0,0
63,3,3,3,118,13,18,50,244.387,98,0,1,1,1,0,0
63,3,4,3,118,13,18,50,244.387,98,0,1,1,1,0,0
105,3,5,3,235,11,14,37,244.387,98,1,3,1,0,0,1
118,3,5,3,246,25,16,41,244.387,98,1,1,0,1,0,0
63,3,5,3,118,13,18,50,244.387,98,1,1,1,1,0,0
362,3,6,3,179,51,18,38,244.387,98,0,1,0,1,0,0
210,3,6,3,289,36,13,33,244.387,98,0,1,1,1,0,1
178,3,2,3,260,50,11,36,244.387,98,0,1,1,1,0,0
118,3,3,3,246,25,16,41,244.387,98,0,1,0,1,0,0
362,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0
178,4,6,3,260,50,11,36,239.409,98,0,1,1,1,0,0
78,4,6,3,330,16,4,28,239.409,98,0,2,0,0,0,0
79,4,2,3,369,17,12,31,239.409,98,0,1,1,1,0,0
73,4,2,3,248,25,14,47,239.409,98,0,1,1,0,0,1
78,4,4,3,330,16,4,28,239.409,98,0,2,0,0,0,0
362,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0
63,4,2,3,118,13,18,50,239.409,98,0,1,1,1,0,0
19,4,6,3,300,26,13,43,239.409,98,0,1,1,1,1,1
178,4,6,3,260,50,11,36,239.409,98,0,1,1,1,0,0
362,4,2,3,179,51,18,38,239.409,98,0,1,0,1,0,0
192,4,4,3,118,10,10,37,239.409,98,0,1,0,0,0,0
73,5,4,3,248,25,14,47,246.074,99,0,1,1,0,0,1
79,5,2,3,369,17,12,31,246.074,99,0,1,1,1,0,0
117,5,4,3,179,26,9,30,246.074,99,0,3,0,0,0,0
362,5,4,3,179,51,18,38,246.074,99,0,1,0,1,0,0
146,5,5,3,361,52,3,28,246.074,99,0,1,1,1,0,4
178,5,6,3,260,50,11,36,246.074,99,0,1,1,1,0,0
86,5,2,3,179,22,17,40,246.074,99,0,2,1,0,1,0
86,5,2,3,179,22,17,40,246.074,99,0,2,1,0,1,0
30,5,4,3,228,14,16,58,246.074,99,0,1,1,0,0,1
219,5,4,3,225,26,9,28,246.074,99,0,1,1,0,0,2
78,5,6,3,330,16,4,28,246.074,99,0,2,0,0,0,0
117,5,2,3,179,26,9,30,246.074,99,0,3,0,0,0,0
192,5,2,3,118,10,10,37,246.074,99,0,1,0,0,0,0
105,5,2,3,235,11,14,37,246.074,99,0,3,1,0,0,1
117,5,4,3,179,26,9,30,246.074,99,0,3,0,0,0,0
192,6,2,3,118,10,10,37,253.957,95,0,1,0,0,0,0
362,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0
192,6,3,3,118,10,10,37,253.957,95,0,1,0,0,0,0
219,6,5,3,225,26,9,28,253.957,95,0,1,1,0,0,2
178,6,6,3,260,50,11,36,253.957,95,0,1,1,1,0,0
362,6,6,3,179,51,18,38,253.957,95,1,1,0,1,0,0
118,6,3,3,246,25,16,41,253.957,95,0,1,0,1,0,0
362,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0
